№;Зона;Категорія;Тест-кейс;Тестові дані;Кроки;Очікуваний результат;Пріоритет;Статус
146;Загальний борг;Дата закриття — зі стратегією;Показується дата при обраній стратегії;Авто (100000/36/24%) + Телефон (24000/24/0%) / Лавина / Бюджет: 10000 ₴;1. Обрати Лавину з бюджетом. 2. Відкрити екран.;Блок «Закриєте всі кредити: [дата]» у форматі «6 лютого 2028 року»;🔴;[ ]
147;Загальний борг;Дата закриття — 1 кредит з бюджетом;Дата з урахуванням extra при 1 кредиті + бюджет;Авто (100000/36/24%) / Без стратегії / Бюджет: 6000 ₴ (extra = 2077 ₴);1. 1 кредит без стратегії. Бюджет 6000. 2. Відкрити екран.;Дата закриття з урахуванням додаткових внесків — раніше за графік;🟠;[ ]
148;Загальний борг;Дата закриття — 1 кредит без бюджету;Дата за графіком при 1 кредиті без бюджету;Авто (100000/36/24%) / Без стратегії / Без бюджету;1. 1 кредит без стратегії і бюджету. 2. Відкрити екран.;Показується дата останнього платежу за графіком;🟠;[ ]
149;Загальний борг;Дата — формат;Формат дати: «6 лютого 2028 року»;Будь-яка конфігурація з видимою датою;1. Перевірити текст дати закриття.;Формат: число + місяць у родовому відмінку + рік + «року». Без скорочень;🔴;[ ]
150;Загальний борг;Кнопка ← повертає;Кнопка ← повертає на HomeView;—;1. Відкрити екран. 2. Тапнути ←.;Повертає на головний екран. Без краша;🔴;[ ]
151;Загальний борг;Кнопка без glass;← без iOS 26 glass capsule;—;1. Відкрити екран.;Кнопка ← — neumorphic кружечок без білого квадрата;🟠;[ ]
152;Загальний борг;Тап без кредитів;Тап на плашку без активних кредитів ігнорується;Жодних активних кредитів (всі архівовані або видалені);1. Видалити/архівувати всі кредити. 2. Тапнути на порожню плашку (якщо бачимо).;Екран не відкривається. Порожній стан без навігації;🟠;[ ]
153;Загальний борг;Банер без стратегії;Банер замість дати при 2+ кредитах без стратегії;Авто + Телефон / Без стратегії;1. 2 кредити без стратегії. 2. Відкрити екран.;Банер «Оберіть стратегію, щоб побачити, коли закриєте кредити раніше»;🔴;[ ]
154;Загальний борг;Банер — перехід на план;Тап на банер → вкладка «План»;Авто + Телефон / Без стратегії / Екран «Загальний борг»;1. Тапнути на банер.;Перехід на вкладку «План»;🟠;[ ]
155;Загальний борг;1 кредит / бюджет = мінімальному;Бюджет рівно = мінімальному → дата за графіком;Авто (100000/36/24%) / Бюджет: 3923 ₴ (= monthlyPayment);1. Бюджет = 3923 ₴. 2. Відкрити екран.;Показується дата за графіком (extra=0 → стратегія не прискорює);🟠;[ ]
156;Загальний борг;Оновлення після платежу;Тіло боргу і внесено оновлюються після платежу;Авто (100000/36/24%) / Відкрито екран;1. Відкрити екран. 2. Повернутись назад. 3. Внести платіж 3923 ₴. 4. Знову відкрити.;Тіло зменшилось на principalPart. Усього внесено зросло на 3 923 ₴;🔴;[ ]
157;Загальний борг;Архівований не рахується;Архівований кредит не в тілі боргу і не у внесено;Авто (100000) активний + Ноутбук (50000) архівований;1. Відкрити екран.;Тіло боргу = ~100 000 ₴ (Ноутбук не враховується);🟠;[ ]
158;Загальний борг;Повністю погашений активний;Кредит з балансом 0 (активний, не архівований);Малий борг — погашений, Залишити активним;1. Відкрити екран.;Тіло боргу Малого = 0. Загальний борг без нього;🟡;[ ]
159;Календар;Відкриття;Кнопка «Календар платежів» відкриває CalendarView;Авто + Телефон (будь-які активні кредити);1. Загальний борг → «Календар платежів».;Відкривається CalendarView з двома місяцями поруч;🔴;[ ]
160;Календар;2 місяці поруч;Бачимо 2 місяці горизонтально без скролу;Будь-які кредити;1. Відкрити CalendarView.;Поточний і наступний місяці видно одночасно в 2 колонках;🔴;[ ]
161;Календар;Свайп вперед;Свайп вліво показує наступну пару;Будь-які кредити;1. Свайп вліво по календарю.;Пара переходить до наступних 2 місяців (пара 2 і 3);🔴;[ ]
162;Календар;Назва місяця;Назви місяців українською;—;1. Відкрити. Перевірити заголовки.;«Вересень 2026», «Жовтень 2026» (або поточні місяці). Без англійських назв;🟠;[ ]
163;Календар;Сьогодні виділено;Сьогоднішній день з рамкою;—;1. Відкрити CalendarView.;Сьогоднішнє число має коралову обводку-рамку;🔴;[ ]
164;Календар;Заголовки днів тижня;Пн Вт Ср Чт Пт Сб Нд;—;1. Відкрити. Перевірити рядок днів тижня.;Скорочені українські назви. Перший — «Пн»;🟠;[ ]
165;Календар;Перший день місяця на правильному стовпці;Вирівнювання 1-го числа;Відкрити будь-який місяць і перевірити під яким днем тижня стоїть «1»;1. Відкрити. 2. Перевірити де стоїть 1-ше число в обох місяцях.;1-ше стоїть під правильним днем тижня (Пн-Нд);🔴;[ ]
166;Календар;Блок скролу назад — інерція;Інерційний свайп вправо на page 0 не показує порожнечу;—;1. Відкрити. 2. Швидкий свайп вправо.;Немає rubber-band / порожнечі зліва. Сторінка залишається на pair 0;🔴;[ ]
167;Календар;Блок скролу назад — повільний;Повільний свайп вправо теж заблокований;—;1. Повільно тягнути праворуч.;Сітка не зсувається вліво. Залишається на pair 0;🟠;[ ]
168;Календар;20 років вперед;Свайп доходить до пари ~місяць 239-240;—;1. Свайпати вперед до кінця (~120 свайпів або швидко листати).;Зупиняється на останній парі (120-та). Без краша;🟡;[ ]
169;Календар;Колір кредиту 1;Перший доданий кредит отримує colorIndex=1 (синій);Новий кредит після скидання всіх;1. Скинути все (Debug). 2. Додати один кредит. 3. Відкрити легенду.;Кружечок кредиту — синій (#4A90D9);🟠;[ ]
170;Календар;Різні кольори для різних кредитів;Кожен кредит — свій колір;5 кредитів (colorIndex 1-5);1. Відкрити легенду кредитів.;5 різних кружечків різних кольорів. Жодного повторення;🟠;[ ]
171;Календар;Колір по колу при >10 кредитах;11-й кредит отримує той самий колір що і 1-й;11 активних кредитів;1. Додати 11 кредитів. 2. Перевірити кольори у легенді.;colorIndex 11 → колір #1 (синій);🟡;[ ]
172;Календар;Збереження кольору між сесіями;Колір кредиту не змінюється після перезапуску;Авто (colorIndex=1) + Телефон (colorIndex=2);1. Запамятати кольори. 2. Закрити і відкрити застосунок. 3. Перевірити.;Кольори ті самі. colorIndex не скинувся;🟠;[ ]
173;Календар;Мітка майбутнього платежу;Майбутній платіж → кружечок кольору кредиту;Авто (платіж 15-го наступного місяця);1. Відкрити. 2. Знайти 15-те наступного місяця.;Кружечок кольору Авто (синій) на 15-му числі;🔴;[ ]
174;Календар;Мітка оплаченого платежу;Оплачений → зелений кружечок з ✓;Авто / Внести плановий платіж / Відкрити календар;1. Внести платіж. 2. Відкрити калн. Знайти дату платежу.;Зелений кружечок з галочкою на даті планового платежу;🔴;[ ]
175;Календар;Мітка простроченого платежу;Прострочений → оранжевий кружечок;Авто з датою платежу вчора / Не оплачений;1. Кредит з минулою датою. 2. Відкрити календар.;Оранжевий кружечок на вчорашній даті;🔴;[ ]
176;Календар;До 3 міток на дні;3 кредити з платежами в один день → 3 кружечки;Авто (15-те) + Телефон (15-те) + Ноутбук (15-те);1. 3 кредити з однаковим днем платежу. 2. Знайти 15-те.;3 різнокольорові кружечки під числом 15;🔴;[ ]
177;Календар;4+ платежів на одному дні → +N;5 кредитів з платежами 15-го → 3 кружечки + «+2»;Авто+Телефон+Ноутбук+Вже плачу+Малий борг (всі 15-го);1. 5 кредитів один день. 2. Знайти 15-те.;3 кружечки + текст «+2» поряд;🔴;[ ]
178;Календар;День без платежів — без міток;Дні без платежів порожні;Авто (15-те);1. Відкрити. 2. Перевірити 14-те і 16-те числа.;Жодних кружечків на 14-му і 16-му;🟠;[ ]
179;Календар;Архівований не має мітки;Мітки тільки від активних кредитів;Авто (активний) + Ноутбук (архівований, платіж 20-го);1. Архівувати Ноутбук. 2. Відкрити календар. 3. Перевірити 20-те.;Жодної мітки від Ноутбука на 20-му;🔴;[ ]
180;Календар;Мітка на 31-му у лютому;Платіж 31-го у лютому → мітка на 28/29-му;Вже плачу (залишок 30000/12/15% / день: 31-ше);1. Знайти лютий у календарі. 2. Перевірити де мітка.;Мітка на 28-му (або 29-му у вис. рік). Не на 31-му (якого немає);🔴;[ ]
181;Календар;Тап — 1 платіж → деталі;Тап на день з 1 платежем → одразу LoanDetailView;Авто (платіж 15-го);1. Відкрити. 2. Тапнути на 15-те число.;LoanDetailView для Авто відкривається напряму. Без sheet;🔴;[ ]
182;Календар;Тап — кілька платежів → sheet;Тап на день з 3 платежами → bottom sheet;Авто+Телефон+Ноутбук (всі 15-го);1. Тапнути на 15-те.;Sheet зі списком: 3 рядки з назвою + сумою + статусом;🔴;[ ]
183;Календар;Sheet → тап на рядок → деталі кредиту;Тап на рядок у sheet → деталі відповідного кредиту;3 кредити на 15-му;1. Відкрити sheet. 2. Тапнути на «Авто кредит».;Sheet закривається → відкриваються деталі Авто кредиту;🔴;[ ]
184;Kalendar;Sheet — заголовок дати;Sheet показує дату у форматі «15 вересня 2026 року»;Кілька кредитів на 15-му;1. Відкрити sheet.;Заголовок: «15 вересня 2026 року». Коректний відмінок;🟠;[ ]
185;Календар;Sheet — статуси;Sheet показує правильні статуси;1 оплачений + 1 майбутній + 1 прострочений на одному дні;1. Відкрити sheet.;Оплачено ✓ / Майбутній ◷ / Прострочено ! для кожного рядка;🟠;[ ]
186;Календар;Тап на порожній день — нічого;Порожні дні не реагують на тап;Авто (15-го) / Тапнути 14-те;1. Тапнути на 14-те (без платежів).;Нічого не відбувається. Без sheet і без навігації;🔴;[ ]
187;Календар;Легенда статусів;Рядок статусів: Оплачено / Майбутній / Прострочено;—;1. Відкрити CalendarView. 2. Перевірити легенду під сіткою.;3 елементи: зелений ✓ Оплачено · синій Майбутній · оранжевий Прострочено;🟠;[ ]
188;Календар;Легенда кредитів;Рядок з кружечками і назвами кредитів;Авто + Телефон + Ноутбук;1. Відкрити. 2. Перевірити легенду.;3 кружечки різних кольорів + назви: «Авто», «Телефон», «Ноутбук»;🟠;[ ]
189;Календар;Легенда без кредитів;Рядок кредитів порожній без активних кредитів;Всі кредити архівовані;1. Архівувати всі. 2. Відкрити календар.;Рядок кредитів відсутній або порожній;🟡;[ ]
190;Календар;Список — заголовок поточного місяця;Заголовок = назва поточного місяця великими літерами;—;1. Відкрити CalendarView. 2. Перевірити заголовок списку.;«ВЕРЕСЕНЬ» (або поточний місяць). Без малих літер;🟠;[ ]
191;Календар;Список — всі платежі місяця;Список показує всі платежі поточного місяця;Авто (15-го) + Телефон (10-го) / Вересень;1. Відкрити. 2. Перевірити список.;2 рядки: Телефон 10-го і Авто 15-го. Відсортовані за датою;🟠;[ ]
192;Календар;Список — не змінюється при свайпі;Список залишається поточним місяцем при гортанні;Авто (15-го) у вересні;1. Свайпнути до жовтня. 2. Перевірити список.;Заголовок і список ще «ВЕРЕСЕНЬ». Не змінився на жовтень;🔴;[ ]
193;Календар;Список — статуси;Статус платежу у списку коректний;Авто: 1 оплачений (вересень) + 1 майбутній (жовтень);1. Відкрити. 2. Список вересня.;Авто 15-го → «Оплачено». (Якщо поточний місяць збігається);🟠;[ ]
194;Календар;Список — порожній місяць;Повідомлення якщо у місяці немає платежів;Кредит з наступним платежем у листопаді / Перевіряємо у жовтні-місяці;1. Кредит без платежів у поточному місяці. 2. Відкрити.;«Платежів у цьому місяці немає»;🟠;[ ]
195;Календар;Список не містить позапланових;Позапланові/дострокові не в списку;Авто / Внести позаплановий 5000 ₴ / Відкрити календар;1. Позаплановий платіж. 2. Список.;Позаплановий НЕ відображається у списку місяця (тільки планові);🟡;[ ]
196;Календар;colorIndex=0 не зберігається;Жоден збережений кредит не має colorIndex=0;Всі активні кредити;1. Додати 3 нові кредити. 2. Перевірити кольори у легенді.;У легенді всі кредити мають чіткий колір (не невидимий/дефолтний);🟠;[ ]
197;Календар;colorIndex при редагуванні;Редагування кредиту не скидає colorIndex;Авто (colorIndex=1) / Редагувати назву;1. Редагувати Авто (змінити назву). 2. Зберегти. 3. Легенда.;colorIndex = 1 (синій). Колір не змінився;🟠;[ ]
198;Регресія нового;Повний флоу;Повний шлях: Home → Загальний борг → Календар → Деталі кредиту;Авто (100000/36/24%) + Телефон (24000/24/0%);1. Тап на плашку. 2. «Календар платежів». 3. Тап на день з Авто. 4. Деталі → ← → Календар → ← → Загальний борг → ← → Home.;Весь шлях без крашу. Стек навігації коректний;🔴;[ ]
199;Регресія нового;Оновлення після платежу;Мітки і список оновлюються після внесення платежу;Авто (15-го) / Ще не оплачений у поточному місяці;1. Відкрити калн. Мітка 15-го — кольорова (майбутній). 2. Внести платіж. 3. Повернутись у каль.;Мітка 15-го тепер зелена ✓. Статус у списку — «Оплачено»;🔴;[ ]
200;Регресія нового;Дата закриття оновлюється;Дата на екрані «Загальний борг» оновлюється після платежу;Авто (100000/36/24%) / Лавина / Бюджет: 6000 ₴;1. Запамятати дату. 2. Внести позаплановий 20000 ₴. 3. Відкрити екран.;Дата закриття стала раніша (скоротився термін);🔴;[ ]
